,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,passed_test,stimulus,type,button_pressed,answer,stimNum,topic,speaker,form,response,correct,Gender,Native_Speaker,Music_Ability,Age,Mobile
91,4885,audio-button-response,20,195730,0.0-8.0-1.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_window.wav,,0,first,11,window,Katie,modal,first,1,Male,Yes,4,21,No
92,6284,audio-button-response,21,202014,0.0-8.0-2.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_soup.wav,,1,first,9,soup,Katie,indirect,second,0,Male,Yes,4,21,No
93,7082,audio-button-response,22,209096,0.0-8.0-3.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_back.wav,,0,first,2,back,Katie,indirect,first,1,Male,Yes,4,21,No
94,4618,audio-button-response,23,213715,0.0-8.0-4.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_box.wav,,0,first,3,box,Katie,modal,first,1,Male,Yes,4,21,No
95,5741,audio-button-response,24,219458,0.0-8.0-5.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_temp.wav,,0,first,12,temperature,Katie,modal,first,1,Male,Yes,4,21,No
96,6866,audio-button-response,25,226324,0.0-8.0-6.0,14172,group3,yes,prosody_paired_samples/KatieS/IR_Literal_Spanish.wav,,0,first,10,spanish,Katie,modal,first,1,Male,Yes,4,21,No
97,8971,audio-button-response,26,235295,0.0-8.0-7.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_door.wav,,1,second,4,door,Katie,modal,second,1,Male,Yes,4,21,No
98,7942,audio-button-response,27,243237,0.0-8.0-8.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_piano.wav,,1,second,8,piano,Katie,modal,second,1,Male,Yes,4,21,No
99,7122,audio-button-response,28,250359,0.0-8.0-9.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_phone.wav,,0,second,7,phone,Katie,indirect,first,0,Male,Yes,4,21,No
100,5693,audio-button-response,29,256052,0.0-8.0-10.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_office.wav,,1,second,6,office,Katie,indirect,second,1,Male,Yes,4,21,No
101,5717,audio-button-response,30,261769,0.0-8.0-11.0,14172,group3,yes,prosody_paired_samples/KatieS/Literal_IR_car.wav,,1,second,1,car,Katie,indirect,second,1,Male,Yes,4,21,No
102,8117,audio-button-response,31,269887,0.0-9.0-0.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_window.wav,,1,first,11,window,Nimish,modal,second,0,Male,Yes,4,21,No
103,5732,audio-button-response,32,275619,0.0-9.0-1.0,14172,group3,yes,prosody_paired_samples/NimishP/IR_Literal_car.wav,,0,first,1,car,Nimish,indirect,first,1,Male,Yes,4,21,No
104,6627,audio-button-response,33,282246,0.0-9.0-2.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_phone.wav,,0,second,7,phone,Nimish,indirect,first,0,Male,Yes,4,21,No
105,5311,audio-button-response,34,287558,0.0-9.0-3.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_piano.wav,,1,second,8,piano,Nimish,modal,second,1,Male,Yes,4,21,No
106,4969,audio-button-response,35,292527,0.0-9.0-4.0,14172,group3,yes,prosody_paired_samples/NimishP/Literal_IR_temp.wav,,1,second,12,temperature,Nimish,modal,second,1,Male,Yes,4,21,No
